"sampleID","patient","type","A2ML1"
"TCGA-05-4244-01A","TCGA-05-4244","tumor",0.3491
"TCGA-05-4249-01A","TCGA-05-4249","tumor",1.6098
"TCGA-05-4250-01A","TCGA-05-4250","tumor",0
"TCGA-05-4382-01A","TCGA-05-4382","tumor",4.7861
"TCGA-05-4384-01A","TCGA-05-4384","tumor",0
"TCGA-05-4389-01A","TCGA-05-4389","tumor",36.5772
"TCGA-05-4390-01A","TCGA-05-4390","tumor",0.6387
"TCGA-05-4395-01A","TCGA-05-4395","tumor",390.8484
"TCGA-05-4396-01A","TCGA-05-4396","tumor",0.7582
"TCGA-05-4397-01A","TCGA-05-4397","tumor",19.2159
"TCGA-05-4398-01A","TCGA-05-4398","tumor",1.3049
"TCGA-05-4402-01A","TCGA-05-4402","tumor",25.092
"TCGA-05-4403-01A","TCGA-05-4403","tumor",0
"TCGA-05-4405-01A","TCGA-05-4405","tumor",1.3253
"TCGA-05-4410-01A","TCGA-05-4410","tumor",6.8807
"TCGA-05-4415-01A","TCGA-05-4415","tumor",1.3333
"TCGA-05-4417-01A","TCGA-05-4417","tumor",3.1769
"TCGA-05-4418-01A","TCGA-05-4418","tumor",27.5862
"TCGA-05-4420-01A","TCGA-05-4420","tumor",2.1036
"TCGA-05-4422-01A","TCGA-05-4422","tumor",8.828
"TCGA-05-4424-01A","TCGA-05-4424","tumor",1.9066
"TCGA-05-4425-01A","TCGA-05-4425","tumor",1.1192
"TCGA-05-4426-01A","TCGA-05-4426","tumor",0
"TCGA-05-4427-01A","TCGA-05-4427","tumor",0.5045
"TCGA-05-4430-01A","TCGA-05-4430","tumor",0.319
"TCGA-05-4432-01A","TCGA-05-4432","tumor",0.5769
"TCGA-05-4433-01A","TCGA-05-4433","tumor",4.9587
"TCGA-05-4434-01A","TCGA-05-4434","tumor",701.56
"TCGA-05-5420-01A","TCGA-05-5420","tumor",0
"TCGA-05-5423-01A","TCGA-05-5423","tumor",0
"TCGA-05-5425-01A","TCGA-05-5425","tumor",1.1312
"TCGA-05-5428-01A","TCGA-05-5428","tumor",0
"TCGA-05-5429-01A","TCGA-05-5429","tumor",0
"TCGA-05-5715-01A","TCGA-05-5715","tumor",71.0521
"TCGA-35-3615-01A","TCGA-35-3615","tumor",0
"TCGA-35-4122-01A","TCGA-35-4122","tumor",26.6332
"TCGA-35-4123-01A","TCGA-35-4123","tumor",0
"TCGA-35-5375-01A","TCGA-35-5375","tumor",1.1099
"TCGA-38-4625-01A","TCGA-38-4625","tumor",1.4081
"TCGA-38-4626-01A","TCGA-38-4626","tumor",0.9049
"TCGA-38-4627-01A","TCGA-38-4627","tumor",0
"TCGA-38-4628-01A","TCGA-38-4628","tumor",0.6321
"TCGA-38-4629-01A","TCGA-38-4629","tumor",9.6735
"TCGA-38-4630-01A","TCGA-38-4630","tumor",64.4804
"TCGA-38-4631-01A","TCGA-38-4631","tumor",1.5695
"TCGA-38-4632-01A","TCGA-38-4632","tumor",0
"TCGA-38-6178-01A","TCGA-38-6178","tumor",0
"TCGA-38-7271-01A","TCGA-38-7271","tumor",0.7593
"TCGA-38-A44F-01A","TCGA-38-A44F","tumor",62.7854
"TCGA-44-2655-01A","TCGA-44-2655","tumor",0.5179
"TCGA-44-2656-01A","TCGA-44-2656","tumor",0
"TCGA-44-2657-01A","TCGA-44-2657","tumor",12.0805
"TCGA-44-2659-01A","TCGA-44-2659","tumor",0
"TCGA-44-2661-01A","TCGA-44-2661","tumor",0
"TCGA-44-2662-01A","TCGA-44-2662","tumor",0.3591
"TCGA-44-2665-01A","TCGA-44-2665","tumor",0.4744
"TCGA-44-2666-01A","TCGA-44-2666","tumor",0.4171
"TCGA-44-2668-01A","TCGA-44-2668","tumor",6.5507
"TCGA-44-3396-01A","TCGA-44-3396","tumor",0.4475
"TCGA-44-3398-01A","TCGA-44-3398","tumor",1.7131
"TCGA-44-3918-01A","TCGA-44-3918","tumor",1.1442
"TCGA-44-3919-01A","TCGA-44-3919","tumor",3.9024
"TCGA-44-4112-01A","TCGA-44-4112","tumor",0.4016
"TCGA-44-5643-01A","TCGA-44-5643","tumor",28749.8592
"TCGA-44-5644-01A","TCGA-44-5644","tumor",1.33
"TCGA-44-5645-01A","TCGA-44-5645","tumor",2.8686
"TCGA-44-6145-01A","TCGA-44-6145","tumor",16.4245
"TCGA-44-6146-01A","TCGA-44-6146","tumor",53.7004
"TCGA-44-6147-01A","TCGA-44-6147","tumor",0.5464
"TCGA-44-6148-01A","TCGA-44-6148","tumor",2.6785
"TCGA-44-6774-01A","TCGA-44-6774","tumor",0
"TCGA-44-6775-01A","TCGA-44-6775","tumor",7.0671
"TCGA-44-6776-01A","TCGA-44-6776","tumor",0.7184
"TCGA-44-6777-01A","TCGA-44-6777","tumor",0
"TCGA-44-6778-01A","TCGA-44-6778","tumor",1.9036
"TCGA-44-6779-01A","TCGA-44-6779","tumor",14.3455
"TCGA-44-7659-01A","TCGA-44-7659","tumor",0.7474
"TCGA-44-7660-01A","TCGA-44-7660","tumor",193.8808
"TCGA-44-7661-01A","TCGA-44-7661","tumor",1.8738
"TCGA-44-7662-01A","TCGA-44-7662","tumor",0.296
"TCGA-44-7667-01A","TCGA-44-7667","tumor",0
"TCGA-44-7669-01A","TCGA-44-7669","tumor",0
"TCGA-44-7670-01A","TCGA-44-7670","tumor",2.4731
"TCGA-44-7671-01A","TCGA-44-7671","tumor",0.3151
"TCGA-44-7672-01A","TCGA-44-7672","tumor",0.7809
"TCGA-44-8117-01A","TCGA-44-8117","tumor",0
"TCGA-44-8119-01A","TCGA-44-8119","tumor",0
"TCGA-44-8120-01A","TCGA-44-8120","tumor",0
"TCGA-44-A479-01A","TCGA-44-A479","tumor",0.5675
"TCGA-44-A47A-01A","TCGA-44-A47A","tumor",2.0471
"TCGA-44-A47B-01A","TCGA-44-A47B","tumor",0
"TCGA-44-A47G-01A","TCGA-44-A47G","tumor",1.7261
"TCGA-44-A4SS-01A","TCGA-44-A4SS","tumor",3971.0616
"TCGA-44-A4SU-01A","TCGA-44-A4SU","tumor",0.9391
"TCGA-49-4486-01A","TCGA-49-4486","tumor",2.9924
"TCGA-49-4487-01A","TCGA-49-4487","tumor",0
"TCGA-49-4488-01A","TCGA-49-4488","tumor",0
"TCGA-49-4490-01A","TCGA-49-4490","tumor",165.6838
"TCGA-49-4494-01A","TCGA-49-4494","tumor",0.2839
"TCGA-49-4501-01A","TCGA-49-4501","tumor",0
"TCGA-49-4505-01A","TCGA-49-4505","tumor",0
"TCGA-49-4506-01A","TCGA-49-4506","tumor",0
"TCGA-49-4507-01A","TCGA-49-4507","tumor",0
"TCGA-49-4510-01A","TCGA-49-4510","tumor",1.2771
"TCGA-49-4512-01A","TCGA-49-4512","tumor",0.7686
"TCGA-49-4514-01A","TCGA-49-4514","tumor",0.7651
"TCGA-49-6742-01A","TCGA-49-6742","tumor",7.4571
"TCGA-49-6743-01A","TCGA-49-6743","tumor",4.3407
"TCGA-49-6744-01A","TCGA-49-6744","tumor",0.5092
"TCGA-49-6745-01A","TCGA-49-6745","tumor",1.4742
"TCGA-49-6761-01A","TCGA-49-6761","tumor",0
"TCGA-49-6767-01A","TCGA-49-6767","tumor",0
"TCGA-49-AAQV-01A","TCGA-49-AAQV","tumor",11.481
"TCGA-49-AAR0-01A","TCGA-49-AAR0","tumor",0.4958
"TCGA-49-AAR2-01A","TCGA-49-AAR2","tumor",0.6187
"TCGA-49-AAR3-01A","TCGA-49-AAR3","tumor",1.7422
"TCGA-49-AAR4-01A","TCGA-49-AAR4","tumor",65.5738
"TCGA-49-AAR9-01A","TCGA-49-AAR9","tumor",12.391
"TCGA-49-AARE-01A","TCGA-49-AARE","tumor",14.1102
"TCGA-49-AARN-01A","TCGA-49-AARN","tumor",1.4925
"TCGA-49-AARO-01A","TCGA-49-AARO","tumor",1.1531
"TCGA-49-AARQ-01A","TCGA-49-AARQ","tumor",2.809
"TCGA-49-AARR-01A","TCGA-49-AARR","tumor",2.5513
"TCGA-4B-A93V-01A","TCGA-4B-A93V","tumor",0
"TCGA-50-5044-01A","TCGA-50-5044","tumor",1.0235
"TCGA-50-5045-01A","TCGA-50-5045","tumor",0
"TCGA-50-5049-01A","TCGA-50-5049","tumor",1.1161
"TCGA-50-5051-01A","TCGA-50-5051","tumor",0
"TCGA-50-5055-01A","TCGA-50-5055","tumor",89.701
"TCGA-50-5066-01A","TCGA-50-5066","tumor",0
"TCGA-50-5068-01A","TCGA-50-5068","tumor",0
"TCGA-50-5072-01A","TCGA-50-5072","tumor",108.545
"TCGA-50-5930-01A","TCGA-50-5930","tumor",5.3122
"TCGA-50-5931-01A","TCGA-50-5931","tumor",26.5152
"TCGA-50-5932-01A","TCGA-50-5932","tumor",0
"TCGA-50-5933-01A","TCGA-50-5933","tumor",0
"TCGA-50-5935-01A","TCGA-50-5935","tumor",0
